10.1111/tpj.14781 | Azospirillum lipoferum | drought | maize | "In this context, the research was designed to study the effects of Azospirillum lipoferum strain (Accession no. GQ255950) inoculation on biochemical attributes and growth of maize plant under drought stress." | NO
10.1016/j.plaphy.2014.09.001 | Acinetobacter calcoaceticus | salt | cucumber | "Previously, we observed the Burkholderia cepacia SE4, Promicromonospora sp. SE188 and A. calcoaceticus SE370 bacterial treatments promoted the plant growth and reduced the ABA content in salt and drought stress affected cucumber plants (Kang et al., 2014b)." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | drought | soybean | "We found P. putida H-2-3 associated with soybean plants at drought or salt stress comforted to improve the plant growth by increasing or decreasing the endogenous SA level, respectively." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | soybean | "We found P. putida H-2-3 associated with soybean plants at drought or salt stress comforted to improve the plant growth by increasing or decreasing the endogenous SA level, respectively." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | soybean | "Moreover, P. putida H2-3 mitigated the drought and salt stress in soybean by reducing SOD and DPPH-radical scavenging activity in stress infected plants." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | drought | soybean | "Moreover, P. putida H2-3 mitigated the drought and salt stress in soybean by reducing SOD and DPPH-radical scavenging activity in stress infected plants." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | drought | soybean | "Similarly in current study, low level of JA in abiotic stressed soybean plants was elevated by P. putida H-2-3 treatment to drought and salt affected plants and suggests that P. putida H-2-3 interaction has not only reprogrammed the soybean for higher growth while significantly mitigated the osmotic stress induced by NaCl and PEG." | YES
10.1016/j.plaphy.2014.09.001 | Pseudomonas putida | salt | soybean | "Similarly in current study, low level of JA in abiotic stressed soybean plants was elevated by P. putida H-2-3 treatment to drought and salt affected plants and suggests that P. putida H-2-3 interaction has not only reprogrammed the soybean for higher growth while significantly mitigated the osmotic stress induced by NaCl and PEG." | YES
10.1007/s00344-012-9283-7 | Azospirillum brasilense | drought | wheat | "Creus and others (2004) reported that growing Azospirillum brasilense Sp245-primed wheat under drought stress conditions resulted in a significant increase in water content, relative water content, water potential, and apoplastic water function in both shoots and roots compared to the nonprimed plants." | YES
10.1007/s00344-012-9283-7 | Azospirillum | drought | wheat | "Moreover, Pereyra and others (2012) reported that Azospirillum inoculation provided a better water status in wheat seedlings under osmotic stress due to increased after exposing plants to drought stress." | YES
10.5555/20143078743 | Bacillus | drought | maize | "As a result, Bacillus spp inoculated maize seedlings showed physiological response that could alleviate drought stress negative effects." | YES
10.5555/20143078743 | Azospirillum brasilense | drought | wheat | "Inoculation of Azospirillum brasilense Sp245 in wheat (Triticum aestivum) under drought stress resulted in a better water status and an additional elastic adjustment’ leading to better grain yield and mineral quality (Mg, K, and Ca) (Creus et al .2004)." | YES
10.5555/20143078743 | Pseudomonas mendocina | drought | Lactuca sativa | "Inoculation of lettuce (Lactuca sativa L.) with PGPR Pseudomonas mendocina augmented an antioxidant CAT under severe drought conditions, suggesting that they can be used in inoculants to alleviate the oxidative damage elicited by drought (Kohler 2008)." | YES
10.5555/20143078743 | Bacillus | drought | maize | "Therefore levels of water insoluble saccharides were higher in PGP Bacillus spp. inoculated maize RAS samples, which influenced higher aggregate stability and MWD than uninoculated seedlings under drought stress." | YES
10.1007/s00248-013-0326-9 | Bacillus thuringiensis | drought | Lavandula | "B. thuringiensis promoted growth and drought avoidance in Lavandula by increasing K content, by depressing stomatal conductance, and it controlled shoot proline accumulation." | YES
10.1007/s00248-013-0326-9 | Bacillus thuringiensis | drought | Lavandula | "Lavadula demonstrated a greater benefit than Salvia to control drought stress when inoculated with B. thuringiensis." | YES
10.1007/s00248-013-0326-9 | Bacillus thuringiensis | drought | Salvia | "Lavadula demonstrated a greater benefit than Salvia to control drought stress when inoculated with B. thuringiensis." | NO
10.1007/s00248-013-0326-9 | Bacillus megaterium | drought | Trifolium repens | "Studies [4] show that plants colonized by the B. megaterium strain here used increased water content in Trifolium repens under water stress." | YES
10.1016/j.plaphy.2015.11.001 | Pseudomonas putida | drought | chickpea | "The present study demonstrates the positive regulatory role of an abiotic stress tolerant PGPR, P. putida RA in promoting growth as well as drought stress alleviation in chickpea." | YES
10.1016/j.plaphy.2015.11.001 | Bacillus amyloliquefaciens | salt | rice | "Similar result has also been reported for Bacillus amyloliquefaciens strain SN13 mediated salt stress amelioration in rice (Nautiyal et al. 2013)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Recent results have shown that Azospirillum-inoculated lettuce seeds yield a higher number of transplanted plants with superior traits than non-inoculated controls grown with and without saline stress." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "In this work, seed inoculation with Azospirillum not only promoted higher biomass but also improved lettuce quality when plants were grown under salt-stress conditions." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "These results suggest that seed inoculation with Azospirillum not only could improve freshly product quality but also extend storage life in lettuce grown under salt stress." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Moreover, lettuce yield in plants grown under salt stress is higher in those germinated from Azospirillum-inoculated seeds than in non-inoculated controls (Fasciglione et al., 2012)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum brasilense | salt | lettuce | "Within this framework, we hypothesize that A. brasilense Sp245 inoculation improves both yield and quality at harvest in lettuce grown under continous salt stress, and extends product quality upon storage." | NO
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Azospirillum inoculation promotes both higher relative growth and net assimilation rates in lettuce plants exposed to salt stress." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | wheat | "Moreover, higher relative water content in Azospirillum-inoculated wheat than in controls was observed in plants germinated under salt stress (Creus et al., 1997)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "A significant higher root biomass found in Azospirillum-inoculated lettuce plants grown under salt stress could account for better relative water content and higher aerial FW and DW at harvest (Table 1)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Either salt stress or Azospirillum inoculation triggered an ascorbic acid increase in lettuce at harvest." | NO
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "However, Azospirillum inoculation contributed to higher color retention in salt-stressed lettuce both at harvest and up to 20 days storage (Table 2), which in turn could be partially due to chlorophyll increase (Table 1)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Our results show higher chlorophyll content both at harvest and storage, in Azospirillum-inoculated lettuce grown under salt stress than in non-inoculated controls (Table 1)." | YES
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "Even though we do not provide data on the mode of action of Azospirillum on enhancing quality at harvest and upon storage in lettuce grown under salt stress, different plausible mechanisms could contribute to the bacterial effects." | NO
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "The above constitute mere speculations on some plausible mechanisms Azospirillum could use to improve product quality in lettuce grown under salt stress." | NO
10.1016/j.scienta.2015.09.015 | Azospirillum | salt | lettuce | "In this study, Azospirillum inoculation not only improved yield and nutritional value but also extended storage life and product quality in lettuce grown under salt stress." | YES
10.1111/ppl.12221 | Azospirillum brasilense | drought | Arabidopsis thaliana | "However,there are no reports on the inoculations with Azospirillum brasilense in Arabidopsis thaliana plants throughout the whole plant cycle in drought conditions." | NO
10.1111/ppl.12221 | Azospirillum lipoferum | drought | maize | "Similarly, maize plants inoculated with Azospirillum Lipoferum Increase ABA levels and reverse the effects of inhibitors of ABA and GA synthesis (fluridone and prohexadione-Ca, respectively) and augment the plant tolerance to drought (Cohen et al. 2009)." | YES
10.1111/ppl.12221 | Azospirillum | drought | Arabidopsis | "A pot experiment using ArabidopsisCol-0 plants was used to exam-in Arabidopsis development and reproductive success as affected by Azospirillum, ABA and drought." | NO
10.1111/ppl.12221 | Azospirillum lipoferum | drought | maize | "These results are consistent with those found in maize plants inoculated with A.lipoferum USA 5b that augmented LA in both water and water stressed (Cohen et al. 2009)." | NO
10.1111/ppl.12221 | Azospirillum | drought | wheat | "Also, under drought stress, wheat plants inoculated with Azospirillum showed an enhanced osmotic adjustment that maintains cell turgor, preventing degenerative processes (Creus et al. 2004)." | YES
10.1111/ppl.12221 | Azospirillum brasilense | drought | Arabidopsis | "In summary, A. brasilense stimulated Arabidopsis general growth, LR number, proline levels, improved survival, seed yield and RLWC, and decreased gs and RSWC in plants submitted or not to drought." | NO
10.1111/nph.12383 | Phyllobacterium brassicacearum | drought | Arabidopsis thaliana | "Here, we show that Phyllobacterium brassicacearum strain STM196, a PGPR isolated from the rhizosphere of oilseed rape B. napus (Bertrandet al.,2001; Larcheret al., 2003), enhances plant tolerance to drought in two accessions of A. thaliana with contrasting flowering phenology." | YES
10.1111/nph.12383 | Phyllobacterium brassicacearum | drought | Arabidopsis | "Overall, our results show that the PGPR P. brassicacearum STM196 induces a suite of developmental and physiological changes that represent a significant added value to the drought response strategy of Arabidopsis." | YES
10.1016/j.plaphy.2012.02.001 | Trichoderma harzianum | drought | rice | "In the present study, the impact of drought tolerant isolates of endophytic fungus Trichoderma harzianum on rice response to drought was investigated." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Trichoderma-colonized rice seedlings were slower to wilt in response to drought." | YES
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "The primary direct effect of Trichoderma colonization was promotion of root growth, regardless of water status, which caused delay in the drought responses of rice plants." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "The results reveal the role of Trichoderma in imparting stress resistance and provide insight in to the potential for rice plants to adapt to drought conditions." | YES
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Five drought tolerant Trichoderma isolates (Th 56, 69, 75, 82 & 89) were further evaluated under glass house condition for their ability to enhance water stress tolerance of rice plants when used as root dip treatment." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Prior to the shift in watering cycles at 42 days, rice seedlings treated with drought tolerant Trichoderma isolates had taller shoot and root length compared to untreated control (Fig. 3)." | YES
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Physiological and biochemical responses of rice plants under drought stress were significantly (p 0.05) affected by the drought tolerant Trichoderma isolates (Table 3)." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Effect of drought and Trichoderma colonization on rice seedling growth is shown in Fig. 2." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "However in our study, accumulation of drought induced metabolites such as proline was significantly increased under drought stress conditions in rice, though increase was less in drought tolerant Trichoderma-treated plants." | YES
10.1016/j.plaphy.2012.02.001 | Trichoderma hamatum | drought | Theobroma cacao | "Similar results were also reported by Bae et al. [16] for drought tolerant T. hamatum DIS 219b-colonized seedlings of Theobroma cacao." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma hamatum | drought | cacao | "It was reported that total amino acid content increased in response to drought in untreated cacao plants, but not in T. hamatum DIS 219b-colonized seedlings." | NO
10.1016/j.plaphy.2012.02.001 | Trichoderma | drought | rice | "Finally, in future, drought tolerant Trichoderma strains could be used to improve growth and productivity of rice crop under drought conditions." | YES
10.1016/j.jprot.2016.01.006 | Sinorhizobium meliloti | drought | Medicago truncatula | "This study demonstrates that nodulation with S. meliloti or S. medicae has the potential to delay drought induced leaf senescence in M. truncatula relative to non-nodulated plants solely relying on mineral N fertilizer." | YES
10.1016/j.jprot.2016.01.006 | Sinorhizobium medicae | drought | Medicago truncatula | "This study demonstrates that nodulation with S. meliloti or S. medicae has the potential to delay drought induced leaf senescence in M. truncatula relative to non-nodulated plants solely relying on mineral N fertilizer." | YES
10.1016/j.jprot.2016.01.006 | Sinorhizobium | drought | Medicago truncatula | "Symbiotic interaction with Sinorhizobium spp. induced physiological, nutritional and metabolic changes that exerted a strong effect on the drought response strategy used by M. truncatula." | YES
10.1080/17429145.2014.902125 | Bacillus | drought | maize | "Similarly Vardharajula et al. (2011) demonstrated the induction of drought tolerance in maize by drought-tolerant plant growth promoting Bacillus spp." | YES
10.1016/j.aoas.2016.07.003 | Azospirillum brasilense | salt | barley | "They also added that inoculation with A. brasilense significantly ameliorated these adverse effects of salinity on the barley growth and the PGPRinduced salt tolerance is more pronounced in the salt sensitive cultivar." | YES
10.1016/j.aoas.2016.07.003 | Bacillus amyloliquefaciens | salt | maize | "B. amyloliquefaciens may confer plant salt tolerance through sequestering Na+ into vacuoles, expelling Na+ from roots, improving the accumulation of total soluble sugar and enhancing antioxidant content in maize under salt stress as suggested by Chen et al. (2016)." | YES
10.1016/j.aoas.2016.07.003 | Bacillus amyloliquefaciens | salt | barley | "Finally, it could be concluded that the inoculation with the biofilm forming PGPR (B. amyloliquefaciens) had ameliorative effects on the growth of barley plants growing under salinity stress." | YES
10.1016/j.scienta.2006.02.025 | Azospirillum brasilense | drought | wheat | "Azospirillum brasilense Sp245 was able to mitigate water stress effects in wheat seedlings (Alvarez et al., 1996; Creus et al., 1998) and maize (Casanovas et al., 2002)." | YES
10.1016/j.scienta.2006.02.025 | Azospirillum brasilense | drought | maize | "Azospirillum brasilense Sp245 was able to mitigate water stress effects in wheat seedlings (Alvarez et al., 1996; Creus et al., 1998) and maize (Casanovas et al., 2002)." | YES
10.1016/j.scienta.2006.02.025 | Azospirillum brasilense | salt | Lactuca sativa | "Taking into account such considerations and the well known fact that plants are often more sensitive to salinity during germination and seedling growth stages (Al-Karaki, 2001), we explored the possibility of using A. brasilense Sp245 to mitigate NaCl effects on a sensitive plant species such as L. sativa." | NO
10.1016/j.apsoil.2016.04.012 | Pseudomonas stutzeri | salt | chilli pepper | "Humic acids and inoculation with the plant growth-promoting bacteria (PGPB) Pseudomonas stutzeri was used alone and combined to mitigate negative effects of progressive soil salinity gradients in a bell and a chili pepper." | YES
10.1016/j.apsoil.2016.04.012 | Pseudomonas stutzeri | salt | bell pepper | "Humic acids and inoculation with the plant growth-promoting bacteria (PGPB) Pseudomonas stutzeri was used alone and combined to mitigate negative effects of progressive soil salinity gradients in a bell and a chili pepper." | YES
10.1016/j.apsoil.2016.04.012 | Bacillus | salt | pepper | "Inoculation of peppers with the PGPB Bacillus sp. ameliorate osmotic stress (Sziderics et al., 2007) and inoculation of red peppers with several ACC deaminase-producing halo-tolerant PGPB (Brevibacterium iodinum, Bacillus licheniformis, and Zhihengliuella alba) mitigate salt stress by reducing induced ethylene production (Siddikee et al., 2011)." | YES
10.1016/j.apsoil.2016.04.012 | Brevibacterium iodinum | salt | red peppers | "Inoculation of peppers with the PGPB Bacillus sp. ameliorate osmotic stress (Sziderics et al., 2007) and inoculation of red peppers with several ACC deaminase-producing halo-tolerant PGPB (Brevibacterium iodinum, Bacillus licheniformis, and Zhihengliuella alba) mitigate salt stress by reducing induced ethylene production (Siddikee et al., 2011)." | YES
10.1016/j.apsoil.2016.04.012 | Bacillus licheniformis | salt | red peppers | "Inoculation of peppers with the PGPB Bacillus sp. ameliorate osmotic stress (Sziderics et al., 2007) and inoculation of red peppers with several ACC deaminase-producing halo-tolerant PGPB (Brevibacterium iodinum, Bacillus licheniformis, and Zhihengliuella alba) mitigate salt stress by reducing induced ethylene production (Siddikee et al., 2011)." | YES
10.1016/j.apsoil.2016.04.012 | Zhihengliuella alba | salt | red peppers | "Inoculation of peppers with the PGPB Bacillus sp. ameliorate osmotic stress (Sziderics et al., 2007) and inoculation of red peppers with several ACC deaminase-producing halo-tolerant PGPB (Brevibacterium iodinum, Bacillus licheniformis, and Zhihengliuella alba) mitigate salt stress by reducing induced ethylene production (Siddikee et al., 2011)." | YES
10.1016/j.apsoil.2016.04.012 | Azospirillum | salt | strawberry | "Inoculation with Azospirillum sp. reduced the Cl concentration in leaves of salt-stressed strawberry plants (Karlidag et al., 2011) and suppression of photosynthesis in tomato plants was less severe in plants inoculated with the PGPB Achromobacter piechaudii (Mayak et al., 2004)." | YES
10.1016/j.apsoil.2016.04.012 | Achromobacter piechaudii | salt | tomato | "Inoculation with Azospirillum sp. reduced the Cl concentration in leaves of salt-stressed strawberry plants (Karlidag et al., 2011) and suppression of photosynthesis in tomato plants was less severe in plants inoculated with the PGPB Achromobacter piechaudii (Mayak et al., 2004)." | YES
10.1016/j.apsoil.2016.04.012 | Pseudomonas putida | salt | wheat | "In wheat, the PGPB Pseudomonas putida significantly increased the K+ /Na+ ratio probably because it restricted uptake of Na+ and enhanced uptake of K+ when salinity was high, thus leading to enhanced salt resistance (Zahir et al., 2009)." | YES
10.1016/j.agee.2016.05.037 | Rhizophagus intraradices | salt | maize | "Inoculation of R. intraradices and Massilia sp. RK4 improved the salinity tolerance of maize through the dual effect exerted by AMF and its associated bacteria." | YES
10.1016/j.agee.2016.05.037 | Massilia | salt | maize | "Inoculation of R. intraradices and Massilia sp. RK4 improved the salinity tolerance of maize through the dual effect exerted by AMF and its associated bacteria." | YES
10.1016/j.agee.2016.05.037 | Rhizophagus intraradices | salt | maize | "To prove our hypothesis, we isolated Rhizophagus intraradices as well as its associated bacteria from the salt affected coastal reclamation soil and used them to enhance the salt tolerance of maize." | NO
10.1016/j.agee.2016.05.037 | Rhizophagus intraradices | salt | maize | "In the present study, we tested the tripartite interaction between R. intraradices, Massilia sp. RK4 and maize under salt stress conditions." | NO
10.1016/j.agee.2016.05.037 | Massilia | salt | maize | "In the present study, we tested the tripartite interaction between R. intraradices, Massilia sp. RK4 and maize under salt stress conditions." | NO
10.1016/j.agee.2016.05.037 | Rhizophagus intraradices | salt | maize | "This study showed that the inoculation of R. intraradices enhanced the salt tolerance of maize by improving its nutrient uptake and reducing its stress level, as indicated by the lower proline accumulation observed in the mycorrhizal treatments." | YES
10.1007/s00374-008-0344-9 | Rhizobium | salt | maize | "This study aimed to investigate the effect of inoculation with plant growth-promoting Rhizobium and Pseudomonas species on NaCl-affected maize." | NO
10.1007/s00374-008-0344-9 | Pseudomonas | salt | maize | "This study aimed to investigate the effect of inoculation with plant growth-promoting Rhizobium and Pseudomonas species on NaCl-affected maize." | NO
10.1016/j.apsoil.2016.01.008 | Glomus fasciculatum | drought | Capsicum annuum | "They measured an enhanced quantity of lycopene and b-carotene in tomato fruits associated with Glomus sp. and those represented by Mena-Violante et al. (2006), who reported increased carotenoid content in ancho chile plants (Capsicum annuum L. cv. San Luis) inoculated with G. fasciculatum and subjected to drought." | YES
10.1007/s11738-010-0604-9 | Bacillus pumilus | salt | rice | "The objective of this paper is to study the effects of a rhizospheric Bacillus pumilus (Gutierrez-Manero et al. 2001) and an endophytic Pseudomonas pseudoalcaligenes (Reiter et al. 2003) bacterium alone and in combination, on salinity in a local paddy rice variety GJ-17." | NO
10.1007/s11738-010-0604-9 | Pseudomonas pseudoalcaligenes | salt | rice | "The objective of this paper is to study the effects of a rhizospheric Bacillus pumilus (Gutierrez-Manero et al. 2001) and an endophytic Pseudomonas pseudoalcaligenes (Reiter et al. 2003) bacterium alone and in combination, on salinity in a local paddy rice variety GJ-17." | NO
10.1139/w11-044 | Rhizobium | salt | bean | "Keeping in mind the above facts and figures, the present study was conducted to find the most efficient combination of PGPR containing ACC deaminase and Rhizobium sp. strains for inducing salt tolerance, and thus improving growth and nodulation in mung bean under salt-affected conditions." | NO
10.1080/15226514.2013.821447 | Azospirillum | salt | wheat | "Although lowering ethylene levels via ACC deaminase is a prevalent mechanism for alleviating salt stress on plant growth, some bacteria utilize other mechanisms to protect plants; for example, a number of researchers have reported that some Azospirillum spp. strains were able to partially mitigate the inhibitory effects of salt stress on wheat, maize, beans, lettuce and sweet pepper (Bacilio et al. 2004; Hamdia, Shaddad, and Doaa 2004; Rabie and Almadini 2005; Barassi et al. 2006; del Amor and Cuadra-Crespo 2012), but not all of these beneficial strains had high ACC deaminase activities (Holguin and Glick 2001)." | YES
10.1080/15226514.2013.821447 | Azospirillum | salt | maize | "Although lowering ethylene levels via ACC deaminase is a prevalent mechanism for alleviating salt stress on plant growth, some bacteria utilize other mechanisms to protect plants; for example, a number of researchers have reported that some Azospirillum spp. strains were able to partially mitigate the inhibitory effects of salt stress on wheat, maize, beans, lettuce and sweet pepper (Bacilio et al. 2004; Hamdia, Shaddad, and Doaa 2004; Rabie and Almadini 2005; Barassi et al. 2006; del Amor and Cuadra-Crespo 2012), but not all of these beneficial strains had high ACC deaminase activities (Holguin and Glick 2001)." | YES
10.1080/15226514.2013.821447 | Azospirillum | salt | bean | "Although lowering ethylene levels via ACC deaminase is a prevalent mechanism for alleviating salt stress on plant growth, some bacteria utilize other mechanisms to protect plants; for example, a number of researchers have reported that some Azospirillum spp. strains were able to partially mitigate the inhibitory effects of salt stress on wheat, maize, beans, lettuce and sweet pepper (Bacilio et al. 2004; Hamdia, Shaddad, and Doaa 2004; Rabie and Almadini 2005; Barassi et al. 2006; del Amor and Cuadra-Crespo 2012), but not all of these beneficial strains had high ACC deaminase activities (Holguin and Glick 2001)." | YES
10.1080/15226514.2013.821447 | Azospirillum | salt | lettuce | "Although lowering ethylene levels via ACC deaminase is a prevalent mechanism for alleviating salt stress on plant growth, some bacteria utilize other mechanisms to protect plants; for example, a number of researchers have reported that some Azospirillum spp. strains were able to partially mitigate the inhibitory effects of salt stress on wheat, maize, beans, lettuce and sweet pepper (Bacilio et al. 2004; Hamdia, Shaddad, and Doaa 2004; Rabie and Almadini 2005; Barassi et al. 2006; del Amor and Cuadra-Crespo 2012), but not all of these beneficial strains had high ACC deaminase activities (Holguin and Glick 2001)." | YES
10.1080/15226514.2013.821447 | Azospirillum | salt | sweet pepper | "Although lowering ethylene levels via ACC deaminase is a prevalent mechanism for alleviating salt stress on plant growth, some bacteria utilize other mechanisms to protect plants; for example, a number of researchers have reported that some Azospirillum spp. strains were able to partially mitigate the inhibitory effects of salt stress on wheat, maize, beans, lettuce and sweet pepper (Bacilio et al. 2004; Hamdia, Shaddad, and Doaa 2004; Rabie and Almadini 2005; Barassi et al. 2006; del Amor and Cuadra-Crespo 2012), but not all of these beneficial strains had high ACC deaminase activities (Holguin and Glick 2001)." | YES
10.1080/15226514.2013.821447 | Pseudomonas putida | salt | barley | "This lack of PGPB-induced growth promotion on monocotyledonous plants in the absence of salt was observed previously; for example, Hall et al. (1996) observed that, without additional salt in the growth media, strain P. putida GR12-2, an ACC deaminase-containing PGPB, did not increase the root length of barley or oats, both of which are monocots." | NO
10.1080/15226514.2013.821447 | Pseudomonas putida | salt | oats | "This lack of PGPB-induced growth promotion on monocotyledonous plants in the absence of salt was observed previously; for example, Hall et al. (1996) observed that, without additional salt in the growth media, strain P. putida GR12-2, an ACC deaminase-containing PGPB, did not increase the root length of barley or oats, both of which are monocots." | NO
10.1007/s00203-009-0466-y | Pseudomonas | salt | wheat | "Present study was conducted for evaluating the comparative potential of Pseudomonas and Serratia proteamaculans strains containing ACC-deaminase for improving growth and yield of wheat under salt-stressed conditions." | NO
10.1007/s00203-009-0466-y | Serratia proteamaculans | salt | wheat | "Present study was conducted for evaluating the comparative potential of Pseudomonas and Serratia proteamaculans strains containing ACC-deaminase for improving growth and yield of wheat under salt-stressed conditions." | NO
