9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
11233480 | Potyvirus | Drought | Arabidopsis thaliana | Studies have shown that the interaction between Potexvirus RNA virus Potato virus X PVX and Potyvirus RNA virus Plum pox virus PPV can lead to improved tolerance to drought in Nicotiana benthamiana and Arabidopsis thaliana, suggesting that increased virulence exhibited by the synergistic interaction of these viruses may confer benefits in response to drought conditions Aguilar et al. | NO
10381829 | Trichoderma | Drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
10381829 | Penicillium | Drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
10381829 | Bradyrhizobium | Drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
8614786 | Paenibacillus polymyxa | Drought | Phaseolus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | These results suggested that Trichoderma longibrachiatum treatment might effectively increase Burkholderia, Rhodanobacter, and Trichoderma abundance in the soil, synergistically regulating soil nutrient contents, and thereby enhancing the drought tolerance of Pinus massoniana. | NO
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | Based on the present results, the dominant taxa enriched in response to Trichoderma longibrachiatum inoculation may have crucial functions in enhancing soil nutrient availability, promoting plant growth, and improving the tolerance of Pinus massoniana to drought stress. | NO
11116649 | Pseudomonas | Salt | Medicago sativa | Notably, double inoculation with Rhizobium and Pseudomonas has been observed to elicit positive adaptive responses in alfalfa under salt stress -REF-. | NO
9213282 | Brevibacillus laterosporus | Cold | Oryza sativa | In another case, rice plants treated with a consortium of two rhizobacteria Bacillus amyloliquefaciens and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and drought stress Kakar et al. | NO
9569789 | Azospirillum brasilense | Drought | Glycine max | A beneficial bacterial consortium containing Bradyrhizobium spp., Azospirillum brasilense strains, and microbial secondary metabolites was found to mitigate oxidative damage in soybean cultivated under moderate drought by reducing leaf hydrogen peroxide content, proline and lipid peroxidation, and the enzyme activities of SOD, CAT, and APX -REF-. | NO
10823023 | Pseudomonas | Drought | Vigna mungo | -REF- conducted a study on Vigna mungo L. and Petroselinum sativum L. subjected to water stress and inoculated with a consortium of three ACC deaminase-producing rhizobacteria O. pseudogrignonense RJ12, Pseudomonas sp. | NO
8998651 | Bacillus cereus | Drought | Bazzania subtilis | The inoculation of cucumber plants with a consortium of bacteria, including Bazzania subtilis, Bacillus cereus, and Serratia sp., has been shown to increase drought resistance by preserving photosynthetic activity through inhibition of the downregulation of APX genes and the RuBisCO large and small subunit genes, rbcL and rbcS. | NO
8998651 | Bacillus cereus | Drought | Cucumis sativus | The inoculation of cucumber plants with a consortium of bacteria, including Bazzania subtilis, Bacillus cereus, and Serratia sp., has been shown to increase drought resistance by preserving photosynthetic activity through inhibition of the downregulation of APX genes and the RuBisCO large and small subunit genes, rbcL and rbcS. | NO
11509602 | Rhizophagus | Salt | Cenchrus ciliaris | So, the main purpose of this study was to estimate the role of AMF applied as a consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Rhizophagus fasciculatum, and Rhizophagus intraradices species symbiosis in mitigating deleterious salt stress effects on the growth parameters shoot length SL, root length RL, shoot dry weight SDW, root dry weight RDW, root surface area RSA, total root length TRL, root volume RV, root diameter RD, number of nodes and leaves of Cenchrus ciliaris L. plants through improved accumulations of photosynthetic pigments chlorophyll a, chlorophyll b, total chlorophyll, proline and phenolic compounds. | NO
7287022 | Penicillium chrysogenum | Salt | Allium cepa | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium chrysogenum | Salt | Solanum lycopersicum | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
11509602 | Claroideoglomus etunicatum | Salt | Cenchrus ciliaris | So, the main purpose of this study was to estimate the role of AMF applied as a consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Rhizophagus fasciculatum, and Rhizophagus intraradices species symbiosis in mitigating deleterious salt stress effects on the growth parameters shoot length SL, root length RL, shoot dry weight SDW, root dry weight RDW, root surface area RSA, total root length TRL, root volume RV, root diameter RD, number of nodes and leaves of Cenchrus ciliaris L. plants through improved accumulations of photosynthetic pigments chlorophyll a, chlorophyll b, total chlorophyll, proline and phenolic compounds. | NO
11509602 | Funneliformis mosseae | Salt | Calamus ciliaris | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
9213282 | Brevibacillus laterosporus | Drought | Oryza sativa | In another case, rice plants treated with a consortium of two rhizobacteria Bacillus amyloliquefaciens and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and drought stress Kakar et al. | NO
11509602 | Funneliformis mosseae | Salt | Ribes fasciculatum | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
7287022 | Penicillium brevicompactum | Salt | Pepper | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
9213282 | Bacillus pumilus | Salt | Rice | Rice inoculated with a consortium of Pseudomonas pseudoalcaligenes and Bacillus pumilus exhibit better response to salinity by accumulating higher levels of glycine-betaine-like quaternary ammonium compounds and biomass Jha and Subramanian -REF-. | NO
9213282 | Pseudomonas pseudoalcaligenes | Salt | Rice | Rice inoculated with a consortium of Pseudomonas pseudoalcaligenes and Bacillus pumilus exhibit better response to salinity by accumulating higher levels of glycine-betaine-like quaternary ammonium compounds and biomass Jha and Subramanian -REF-. | NO
9213282 | Bacillus amyloliquefaciens | Drought | Oryza sativa | In another case, rice plants treated with a consortium of two rhizobacteria Bacillus amyloliquefaciens and Brevibacillus laterosporus and biochemical growth elicitors SA and β-aminobutyric acid exhibited improved growth and survival, and showed reduced levels of chlorosis, leaf rolling, wilting and necrosis under cold and drought stress Kakar et al. | NO
8998651 | Serratia | Drought | Cucumis sativus | The inoculation of cucumber plants with a consortium of bacteria, including Bazzania subtilis, Bacillus cereus, and Serratia sp., has been shown to increase drought resistance by preserving photosynthetic activity through inhibition of the downregulation of APX genes and the RuBisCO large and small subunit genes, rbcL and rbcS. | NO
7287022 | Arthrobacter | Salt | Lettuce | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium brevicompactum | Salt | Lettuce | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Arthrobacter | Salt | Pepper | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
7287022 | Penicillium chrysogenum | Salt | Lettuce | In addition, a recent study conducted by -REF- formulated a consortium of microorganisms formed by two growth-promoting rhizobacteria of the genus Arthrobacter and Planoccocus and two endophytic root fungi Penicillium chrysogenum and Penicillium brevicompactum that worked effectively to reduce saline stress in pepper, lettuce, onion and tomato plants. | NO
11509602 | Funneliformis mosseae | Salt | Cenchrus ciliaris | So, the main purpose of this study was to estimate the role of AMF applied as a consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Rhizophagus fasciculatum, and Rhizophagus intraradices species symbiosis in mitigating deleterious salt stress effects on the growth parameters shoot length SL, root length RL, shoot dry weight SDW, root dry weight RDW, root surface area RSA, total root length TRL, root volume RV, root diameter RD, number of nodes and leaves of Cenchrus ciliaris L. plants through improved accumulations of photosynthetic pigments chlorophyll a, chlorophyll b, total chlorophyll, proline and phenolic compounds. | NO
11509602 | Rhizophagus intraradices | Salt | Calamus ciliaris | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
11509602 | Claroideoglomus etunicatum | Salt | Calamus ciliaris | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
10823023 | Pseudomonas | Drought | Petroselinum sativum | -REF- conducted a study on Vigna mungo L. and Petroselinum sativum L. subjected to water stress and inoculated with a consortium of three ACC deaminase-producing rhizobacteria O. pseudogrignonense RJ12, Pseudomonas sp. | NO
8998651 | Serratia | Drought | Bazzania subtilis | The inoculation of cucumber plants with a consortium of bacteria, including Bazzania subtilis, Bacillus cereus, and Serratia sp., has been shown to increase drought resistance by preserving photosynthetic activity through inhibition of the downregulation of APX genes and the RuBisCO large and small subunit genes, rbcL and rbcS. | NO
10027718 | Rhizosphere bacterium | Salt | Pullea stutzeri | Furthermore, Bacillus velezensis stimulated the resident rhizosphere bacterium Pullea stutzeri through metabolic interactions, and the two-species consortium helped plants alleviate salt stress -REF-; -REF-. | NO
10027718 | Bacillus velezensis | Salt | Pullea stutzeri | Furthermore, Bacillus velezensis stimulated the resident rhizosphere bacterium Pullea stutzeri through metabolic interactions, and the two-species consortium helped plants alleviate salt stress -REF-; -REF-. | NO
11509602 | Rhizophagus intraradices | Salt | Cenchrus ciliaris | So, the main purpose of this study was to estimate the role of AMF applied as a consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Rhizophagus fasciculatum, and Rhizophagus intraradices species symbiosis in mitigating deleterious salt stress effects on the growth parameters shoot length SL, root length RL, shoot dry weight SDW, root dry weight RDW, root surface area RSA, total root length TRL, root volume RV, root diameter RD, number of nodes and leaves of Cenchrus ciliaris L. plants through improved accumulations of photosynthetic pigments chlorophyll a, chlorophyll b, total chlorophyll, proline and phenolic compounds. | NO
11509602 | Claroideoglomus etunicatum | Salt | Ribes fasciculatum | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
9569789 | Bradyrhizobium | Drought | Glycine max | A beneficial bacterial consortium containing Bradyrhizobium spp., Azospirillum brasilense strains, and microbial secondary metabolites was found to mitigate oxidative damage in soybean cultivated under moderate drought by reducing leaf hydrogen peroxide content, proline and lipid peroxidation, and the enzyme activities of SOD, CAT, and APX -REF-. | NO
11509602 | Rhizophagus intraradices | Salt | Ribes fasciculatum | Conclusions In conclusion, this study shows that AMF inoculation consortium of Claroideoglomus etunicatum, Funneliformis mosseae, Ribes fasciculatum, and Rhizophagus intraradices significantly reduced the adverse effects of salinity stress on Calamus ciliaris, thereby enhancing its growth by boosting its physiological traits and photosynthetic activity. | NO
9706007 | Pseudomonas | Salt | Zea mays | Rhizobium and Pseudomonas co-inoculation in maize was reported to increase proline production and decreased electrolyte leakage along with maintenance of leaf relative water content, and uptake of K+, as a mechanism in imparting salt tolerance -REF-. | NO
8229731 | Azospirillum baldaniorum | Drought | Oryza sativa | -REF- showed that Azospirillum and arbuscular mycorrhizal AM colonization improved growth and physiological traits of rice under well-watered and drought conditions; in particular, co-inoculation with AM and Azospirillum baldaniorum caused an increased gs of 35% and 80% under well-watered and drought conditions, respectively. | NO
10252715 | Pantoea | Salt | Capsicum | However, Del Amor and Cuadra-Crespo, 2012, showed that the co-inoculation of Azospirillum brasilense and Pantoea diversa on sweet peppers did not affect the photochemical efficiency of photosystem II and the relative content of chlorophyll but contributed to maintaining a higher stomatal conductivity; therefore, they concluded that the influence of inoculants on the response to salinity was due mainly to the stomatal regulation of photosynthesis and not to the influence on the biochemical limitations of photosynthesis -REF-. | NO
8225083 | Serratia | Salt | Glycine max | Similarly, co-inoculation of soybean with Bradyrhizobium japonicum and Bacillus subtilis, which is well-known for increasing EPS production, alleviated the effects of salinity stress by EPS-mediated sodium uptake restriction; while co-inoculation with Serratia proteomaculans was less efficient, indicating the importance of EPS production level and nature -REF-. | NO
10252715 | Azospirillum brasilense | Salt | Capsicum | However, Del Amor and Cuadra-Crespo, 2012, showed that the co-inoculation of Azospirillum brasilense and Pantoea diversa on sweet peppers did not affect the photochemical efficiency of photosystem II and the relative content of chlorophyll but contributed to maintaining a higher stomatal conductivity; therefore, they concluded that the influence of inoculants on the response to salinity was due mainly to the stomatal regulation of photosynthesis and not to the influence on the biochemical limitations of photosynthesis -REF-. | NO
9706007 | Rhizobium | Salt | Zea mays | Rhizobium and Pseudomonas co-inoculation in maize was reported to increase proline production and decreased electrolyte leakage along with maintenance of leaf relative water content, and uptake of K+, as a mechanism in imparting salt tolerance -REF-. | NO
8225083 | Bacillus subtilis | Salt | Glycine max | Similarly, co-inoculation of soybean with Bradyrhizobium japonicum and Bacillus subtilis, which is well-known for increasing EPS production, alleviated the effects of salinity stress by EPS-mediated sodium uptake restriction; while co-inoculation with Serratia proteomaculans was less efficient, indicating the importance of EPS production level and nature -REF-. | NO
8225083 | Bradyrhizobium japonicum | Salt | Glycine max | Similarly, co-inoculation of soybean with Bradyrhizobium japonicum and Bacillus subtilis, which is well-known for increasing EPS production, alleviated the effects of salinity stress by EPS-mediated sodium uptake restriction; while co-inoculation with Serratia proteomaculans was less efficient, indicating the importance of EPS production level and nature -REF-. | NO
7691295 | Pseudomonas | Salt | Zea mays | The co-inoculation of Rhizobium and Pseudomonas resulted in increased proline production along with decreased electrolyte leakage, maintenance of leaf relative water content, and selective uptake of K+, therefore, eventually improving salt tolerance in Zea mays -REF-. | NO
9569789 | Azospirillum brasilense | Salt | Zea mays | Under salt stress, maize plants inoculated with Azospirillum brasilense Ab-V6, Rhizobium tropici, and co-inoculation with both bacteria showed up-regulation in leaves of genes related to antioxidant activity, such as APX1, CAT1, SOD2, and SOD4 -REF-. | NO
8614786 | Paenibacillus polymyxa | Drought | Petalochilus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
8614786 | Rhizobium tropici ciat 899 | Drought | Petalochilus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
8614786 | Rhizobium tropici | Drought | Phaseolus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
8307984 | Rhizobium | Salt | Medicago sativa | Co-inoculation of Rhizobium with AMF resulted in significant enhancement of yield, nodulation, leghemoglobin, nitrogenase activity, IAA synthesis, and nutrient uptake of alfalfa subjected to salinity stress -REF-. | NO
8614786 | Rhizobium tropici | Drought | Petalochilus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
8614786 | Rhizobium tropici ciat 899 | Drought | Phaseolus vulgaris | Co-inoculation of Petalochilus vulgaris L. common bean with drought tolerating PGPR strains Rhizobium tropici CIAT 899, Paenibacillus polymyxa DSM36, and Paenibacillus polymyxa Loutit, resulted in higher growth and nodulation relative to plant raised in soil treated only with drought stressor PEG -REF-. | NO
7691295 | Rhizobium | Salt | Zea mays | The co-inoculation of Rhizobium and Pseudomonas resulted in increased proline production along with decreased electrolyte leakage, maintenance of leaf relative water content, and selective uptake of K+, therefore, eventually improving salt tolerance in Zea mays -REF-. | NO
9306861 | Phoma putaminum | Drought | Tribonema viride | The effects of dual inoculation on bacterial community were greater than those on fungal community, and combination of Phoma putaminum and Tribonema viride exerted a stronger impact on the microbiome under drought stress. | NO
9415082 | Glomus intraradices | Salt | Lactuca sativa | For example, Pseudomonas mendocina, alone or in combination with an AM fungus such as Glomus intraradices or Glomus mosseae, synergistically improves growth, nutrient uptake, and other physiological activities of salt-stressed Lactuca sativa. | NO
11150836 | Bacillus megaterium | Drought | Trifolium repens | Previously, a combination of three bacterial strains Pseudomonas putida, Pseudomonas sp., and Bacillus megaterium increased the root biomass of white clover Trifolium repens L. plants, indirectly improving their tolerance to drought stress -REF-. | NO
11150836 | Pseudomonas | Drought | Trifolium repens | Previously, a combination of three bacterial strains Pseudomonas putida, Pseudomonas sp., and Bacillus megaterium increased the root biomass of white clover Trifolium repens L. plants, indirectly improving their tolerance to drought stress -REF-. | NO
10823023 | Ochrobactrum pseudogrignonense | Drought | Pisum sativum | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
7691295 | Glomus mosseae | Salt | Lactuca sativa | -REF- examined the effects of inoculation of plant growth-promoting rhizobacterium Pseudomonas mendocina, alone or in combination with AMF Glomus intraradices or Glomus mosseae on the growth, nutrient accumulation, and physiological parameters of Lactuca sativa exposed to salt stress. | NO
11133442 | Bacillus subtilis | Drought | Cicer arietinum | reported that combined inoculation of Mesorhizobium ciceri RZ-11, Bacillus subtilis RP-01 and Bacillus mojavensis RS-14 resulted in 45–50% improvement in chickpea yield under drought stress -REF-. | NO
8003591 | Azotobacter chroococcum | Salt | Vicia faba | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
10823023 | Pseudomonas | Drought | Pisum sativum | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
7588442 | Pseudomonas putida | Drought | Zea mays | A similar effect was reported on maize inoculated with a combination of Azospirillum lipoferum and Pseudomonas putida and sown on soil conditioned with SAP, both under a normal watering regime and when subjected to drought -REF-. | NO
10252715 | Herbaspirillum seropedicae | Drought | Zea mays | On the other hand, the inoculation of maize with the Azospirillum brasilense strain SP-7 in combination with the Herbaspirillum seropedicae strain Z-152 under drought conditions led to a decrease in the expression of the ZmVP14 gene, which is involved in the biosynthesis of ABA, and a decrease in the level of ABA in the plant. | NO
10535095 | Curvularia lunata | Drought | Oryza sativa | Similarly, in another study by Adhikari et al., silicon applied in combination with biochar, K2HPO4, and rhizospheric fungus Curvularia lunata isolate AR11 significantly improved the salt and drought stress tolerance in rice. | NO
11150836 | Pseudomonas putida | Drought | Trifolium repens | Previously, a combination of three bacterial strains Pseudomonas putida, Pseudomonas sp., and Bacillus megaterium increased the root biomass of white clover Trifolium repens L. plants, indirectly improving their tolerance to drought stress -REF-. | NO
11133442 | Mesorhizobium ciceri | Drought | Cicer arietinum | reported that combined inoculation of Mesorhizobium ciceri RZ-11, Bacillus subtilis RP-01 and Bacillus mojavensis RS-14 resulted in 45–50% improvement in chickpea yield under drought stress -REF-. | NO
10252715 | Azospirillum brasilense | Drought | Zea mays | On the other hand, the inoculation of maize with the Azospirillum brasilense strain SP-7 in combination with the Herbaspirillum seropedicae strain Z-152 under drought conditions led to a decrease in the expression of the ZmVP14 gene, which is involved in the biosynthesis of ABA, and a decrease in the level of ABA in the plant. | NO
8003591 | Rhizobium leguminosarum | Salt | Vicia faba | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
7588442 | Azospirillum lipoferum | Drought | Zea mays | A similar effect was reported on maize inoculated with a combination of Azospirillum lipoferum and Pseudomonas putida and sown on soil conditioned with SAP, both under a normal watering regime and when subjected to drought -REF-. | NO
10823023 | Pseudomonas | Drought | Vigna mungo | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
