label	text	microorganism	stress	plant	id
1	The effectiveness of AMF <e1>Acaulospora laevis</e1>, Funneliformis geosporum, Funneliformis mosseae, and Cetraspora armeniaca in <e3>wheat</e3> under <e2>salt</e2> stress was proven by Farghaly et al.	Acaulospora laevis	salt	wheat	9815931
1	Interestingly, while we had previously observed that the addition of <e1>Streptomyces</e1> to <e2>drought-stressed</e2>, gnotobiotic grown <e3>sorghum</e3> led to increased plant root biomass -REF-, here we observed that the addition of iron results in a loss of this stress-induced benefit Fig.	Streptomyces	drought-stressed	sorghum	8163885
1	ROS Reduction in <e3>Wheat</e3> Roots by <e1>Bacillus</e1> Strains under <e2>Salt</e2> Conditions The halophilic strain NMCN1 was observed to highly alleviate ROS production in <e3>Wheat</e3> roots grown under the high <e2>Salt</e2> condition as compared to FZB42.	Bacillus	Salt	Wheat	9608499
0	A comparative analysis was conducted to evaluate the effects of seed priming with endophytic bacterium <e1>Bacillus subtilis</e1> 10-4 BS on the hormonal system and cell wall tolerance lipid peroxidation LPO, electrolyte leakage EL, and root lignin deposition of two <e3>Triticum aestivum</e3> L. wheat varieties with contrasting <e2>drought</e2> sensitivities Ekada 70—<e2>drought</e2>-tolerant DT; Salavat Yulaev—<e2>drought</e2>-sensitive DS under normal conditions and 12% polyethylene glycol-6000 PEG-induced osmotic stress.	Bacillus subtilis	drought	Triticum aestivum	10745732
0	-REF- analyzed the activities of VOCs produced by <e1>Rahnella aquatilis</e1> JZ-GX1 in <e3>Robinia pseudoacacia</e3> subjected to <e2>salt</e2> stress.	Rahnella aquatilis	salt	Robinia pseudoacacia	10255858
1	Moreover, inoculating the rhizosphere with <e1>Bacillus amyloliquefaciens</e1> alleviated <e2>salt</e2> stress and allowed plants such as <e3>Arabidopsis</e3> Col-0, maize Jingtian, and rice Oryza sativa Lindenbergia indica var.	Bacillus amyloliquefaciens	salt	Arabidopsis	7688926
1	Arabidopsis up to 200 mM NaCl -REF-, <e3>maize</e3> up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under <e2>salt</e2> stress upon inoculation with <e1>Pseudomonas</e1> spp.	Pseudomonas	salt	maize	9712829
1	-REF- reported that endophytic fungi Neocamarosporium goegapense, Neocamarosporium chichastianum, and <e1>Periconia macrospinosa</e1> isolated from a desert plant alleviated <e2>drought</e2> stress in <e3>wheat</e3> and cucumber by boosting antioxidant defense enzymes.	Periconia macrospinosa	drought	wheat	9600683
1	These results are consistent with -REF- that showed different strains of <e1>Azospirillum</e1> had a positive influence on <e3>wheat</e3> plants that was dependent on the severity of the <e2>water stress</e2>.	Azospirillum	water stress	wheat	7308537
1	Finally, we showed that <e3>rice</e3> plant mass improved in <e1>Azospirillum</e1> brasilense-treated <e2>salt-stressed</e2> plants compared to <e2>salt-stressed</e2> 100 and 200 mM NaCl uninoculated plants at seven and fourteen dpt.	Azospirillum	salt-stressed	rice	10785826
1	Inoculation of auxin-producing rhizobacteria of genus <e1>Bacillus</e1>, Enterobacter, Moraxella and Pseudomonas lead to significant improvement of shoot length, spike length and grain weight in <e3>wheat</e3> under <e2>drought</e2> conditions at 10% field capacity.	Bacillus	drought	wheat	8066330
1	Moreover, <e1>Azospirillum brasilense</e1> due to nitric oxide production enhanced adventitious root development in <e3>tomato</e3>, which could be another mechanism of <e2>drought</e2> stress alleviation -REF-.	Azospirillum brasilense	drought	tomato	8472176
0	In the profiled seed microbiome, <e2>drought</e2> stress and <e3>wheat</e3> lines had significant effects the abundance of <e1>Gammaproteobacteria</e1>.	Gammaproteobacteria	drought	wheat	8184954
1	Our results provide an evidence of the protective role of <e1>Aspergillus aculeatus</e1> in <e3>perennial ryegrass</e3> response to <e2>drought</e2> and heat stresses.	Aspergillus aculeatus	drought	perennial ryegrass	7933552
1	During <e2>drought</e2> stress, <e1>Pseudomonas mandelii</e1> #29 shows promise in enhancing the uptake of nutrients and the establishment of fungal partnerships within the Mediterranean shrub <e3>Helianthemum almeriense</e3> -REF-.	Pseudomonas mandelii	drought	Helianthemum almeriense	10671349
0	Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of <e1>Penicillium</e1>, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the <e2>drought</e2> resilience of <e3>Pinus massoniana</e3>.	Penicillium	drought	Pinus massoniana	10381829
1	Root colonization by <e1>Pseudomonas chlororaphis</e1> induces systemic <e2>drought</e2> tolerance in <e3>Arabidopsis thaliana</e3> by increasing transcript accumulation from genes associated with defense, response to ROS, and phytohormone-responsiveness, accompanied by decreases in transcription factors associated with ethylene and abscisic acid signaling -REF-.	Pseudomonas chlororaphis	drought	Arabidopsis thaliana	8072474
1	<e1>Pseudomonas fluorescens</e1> were isolated from rhizosphere soil of the Saharan region and showed a PGPB property in <e3>maize</e3> under <e2>salinity</e2> stress -REF-.	Pseudomonas fluorescens	salinity	maize	7358356
0	Studies have shown that the interaction between Potexvirus RNA virus <e3>Potato</e3> virus X PVX and <e1>Potyvirus</e1> RNA virus Plum pox virus PPV can lead to improved tolerance to <e2>drought</e2> in Nicotiana benthamiana and Arabidopsis thaliana, suggesting that increased virulence exhibited by the synergistic interaction of these viruses may confer benefits in response to <e2>drought</e2> conditions Aguilar et al.	Potyvirus	drought	Potato	11233480
0	-REF- also reported that the synergistic application of <e1>Lysinibacillus fusiformis</e1> L. PLT16 and rhizobacterium strain ameliorates the negative effects of <e2>drought</e2> and salt stress on <e3>soybean</e3> and bean plants by regulating photosynthesis and the hormonal and antioxidant systems.	Lysinibacillus fusiformis	drought	soybean	11203645
1	A similar increase in the formation of photosynthetic pigments in <e3>maize</e3> plants raised at various levels of <e2>water stress</e2> was observed after inoculating drought-tolerant PGPR strains, namely, Pseudomonas aeruginosa, <e1>Enterobacter cloacae</e1>, and Leclercia adecarboxylata -REF-.	Enterobacter cloacae	water stress	maize	8614786
1	Similarly, applying <e1>Azospirillum lipoferum</e1> or Azotobacter chroococcum to <e3>maize</e3> plants enhanced the activity of CAT and POX POD, showcasing their positive regulatory roles in <e2>salinity</e2> tolerance -REF-.	Azospirillum lipoferum	salinity	maize	11284086
1	This study showed an increase in ZmDREB2A and ZmWRKY58 gene expression in Bacillus atrophaeus WZYH01 and <e1>Planococcus soli</e1> WZYH02-inoculated <e3>maize</e3> under <e2>saline conditions</e2> compared to non-inoculated control plants -REF-.	Planococcus soli	saline conditions	maize	9121094
1	to enhance <e3>wheat</e3> growth in saline environments and the molecular mechanisms underlying <e1>Nocardioides</e1> sp.-mediated <e2>salinity</e2> tolerance in <e3>wheat</e3>.	Nocardioides	salinity	wheat	10534068
1	The ability of the PGPR <e1>Pseudomonas fluorescens</e1> to protect photosynthesis in <e2>drought-stressed</e2> <e3>rice</e3> plant has been reported -REF-.	Pseudomonas fluorescens	drought-stressed	rice	6841942
1	Inoculation of <e1>Trichoderma harzianum</e1> helped plants alleviate <e2>water deficit</e2> in tomato -REF- and <e3>rice</e3> -REF- through enhanced activation of ascorbate and glutathione-related defense enzymes -REF-.	Trichoderma harzianum	water deficit	rice	7076003
1	As previous works have noted, <e2>cold</e2> stress 4 °C induces more carbohydrate accumulations such as starch, glucose, fructose, sucrose, mannose, raffinose and maltose, in <e3>grapevine</e3> inoculated with <e1>Burkholderia phytofirmans</e1> than in <e3>grapevine</e3> non-inoculated -REF-.	Burkholderia phytofirmans	cold	grapevine	8759379
1	It is suggested that the <e1>Aspergillus</e1> terreus-treated plant showed higher K + contents that ultimately prevent membrane degradation in <e3>maize</e3> and rice plants under <e2>salt</e2> stress.	Aspergillus	salt	maize	8891170
0	Similar observations were noticed for MDA content in <e2>drought</e2>-stressed foxtail millet inoculated with <e1>Glomus</e1> -REF-, as well as in Solanum lycopersicum and <e3>cucumber</e3> treated with various Bacillus strains under <e2>drought</e2> conditions -REF-; -REF-.	Glomus	drought	cucumber	9428627
1	It has a capacity to induce tolerance against drought in maize -REF- and rice -REF-.<e1>Bradyrhizobium</e1> can alleviate <e2>salt</e2> stress, promoting symbiosis in <e3>soybean</e3> -REF-.	Bradyrhizobium	salt	soybean	7917748
0	Some examples of HAS species that confer resistance to <e2>Salt</e2> stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria <e2>Salt</e2> Lakes; Jejubacter calystegiae, which is found in the halophyte <e3>Calystegia soldanella</e3> that is found on sandy beaches in South Korea; and many fungus-like microorganisms like <e1>Neocamarosporium chichastianum</e1>, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan <e2>Salt</e2> Lake in Iran -REF-; -REF-; -REF-; -REF-.	Neocamarosporium chichastianum	Salt	Calystegia soldanella	9393590
0	Immunodetection of low-methylated homogalacturonans HG in the leaves of <e2>drought-stressed</e2> <e3>Zea mays</e3> pretreated with <e1>Glomus</e1> sp.	Glomus	drought-stressed	Zea mays	9428627
0	A transcriptomic study of <e2>salt-stressed</e2> <e3>cotton</e3> plant inoculated with Bazzania subtilis and <e1>Bacillus pumilus</e1> exhibited 556 481 upregulated and 75 downregulated and 943 536 upregulated and 407 downregulated differentially expressed genes DEGs, respectively.	Bacillus pumilus	salt-stressed	cotton	9878403
0	The inoculation of <e3>cucumber</e3> plants with a consortium of bacteria, including Bazzania subtilis, <e1>Bacillus cereus</e1>, and Serratia sp., has been shown to increase <e2>drought</e2> resistance by preserving photosynthetic activity through inhibition of the downregulation of APX genes and the RuBisCO large and small subunit genes, rbcL and rbcS.	Bacillus cereus	drought	cucumber	8998651
0	Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants <e1>Rhizobium leguminosarum</e1>, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced <e2>salt</e2> stress tolerance in faba bean plants <e3>Vicia faba</e3> as compared to Mel- or inoculants-treated seeds alone.	Rhizobium leguminosarum	salt	Vicia faba	8003591
0	Similar observations were noticed for MDA content in <e2>drought</e2>-stressed foxtail millet inoculated with Glomus -REF-, as well as in <e3>Solanum lycopersicum</e3> and cucumber treated with various <e1>Bacillus</e1> strains under <e2>drought</e2> conditions -REF-; -REF-.	Bacillus	drought	Solanum lycopersicum	9428627
1	<e2>salt</e2>-tolerant <e1>Bacillus</e1> KKD1 alleviates <e2>salt</e2> stress in <e3>wheat</e3> by regulating osmotic balance and ion homeostasis to protect plant growth -REF-.	Bacillus	salt	wheat	11176432
1	IAA-producing, salt-tolerant <e1>Planococcus rifietoensis</e1>, Brachybacterium, and Haererohalobacter enhance the growth and yields of wheat and <e3>peanut</e3> plants under <e2>salinity</e2> stress Shukla et al., -REF-; Desale et al., -REF-; Zhou et al., -REF-.	Planococcus rifietoensis	salinity	peanut	8226221
0	Some examples of HAS species that confer resistance to <e2>salt</e2> stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria <e2>salt</e2> Lakes; Jejubacter calystegiae, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like <e1>Neocamarosporium chichastianum</e1>, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte <e3>Seidlitzia</e3> osmarinus collected at Hoz-e Soltan <e2>salt</e2> Lake in Iran -REF-; -REF-; -REF-; -REF-.	Neocamarosporium chichastianum	salt	Seidlitzia	9393590
0	For physiological parameters, relative water content % RWC value of <e1>Dermacoccus abyssi</e1> MT1.1T inoculated <e3>tomato</e3> was not significantly different compared to non-inoculated <e3>tomato</e3> with <e2>salt</e2> stress -REF-E.	Dermacoccus abyssi	salt	tomato	8869415
1	In <e2>drought-stressed</e2> plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., <e1>Burkholderia</e1>, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and <e3>maize</e3> -REF- plants.	Burkholderia	drought-stressed	maize	9415082
0	Furthermore, -REF- showed that Enterobacter sp., <e1>Bacillus</e1> sp., and Rhizobium sp., isolated from <e3>Tripogonella spicata</e3>, were also able to improve some plant growth and gas exchange parameters in sorghum growing under <e2>drought</e2> conditions -REF-, -REF-.	Bacillus	drought	Tripogonella spicata	7845453
1	A 54% increase in total soluble sugar of <e3>tomato</e3> inoculated with <e1>Dermacoccus abyssi</e1> MT1.1T under <e2>salt</e2> stress was observed.	Dermacoccus abyssi	salt	tomato	8869415
1	ST-PGPR strain <e1>Bacillus licheniformis</e1> SA03 isolated from <e3>Chrysanthemum</e3> plants grown in saline-alkaline soil of China conferred increased <e2>salt</e2> tolerance in <e3>Chrysanthemum</e3> -REF-.	Bacillus licheniformis	salt	Chrysanthemum	6930159
1	-REF- reported that bacterial endophytes Bacillus cereus, <e1>Micrococcus yunnanensis</e1>, Enterobacter tabaci, Curtobacterium oceanosedimentum, Curtobacterium luteum, and Enterobacter ludwigii isolated from halotolerant plants enhanced the <e2>salt</e2> stress tolerance of <e3>rice</e3> by altering defense enzymes, indole-3-acetic acid, abscisic acid ABA, and gibberellin levels.	Micrococcus yunnanensis	salt	rice	9600683
1	<e1>Thermomyces</e1> fungal endophyte isolated from extreme hot desert-adapted plants eliminates the adverse effects of <e2>heat</e2> stress on <e3>cucumber</e3> plants by increasing root length, improving photosystem II efficiency, photosynthesis rate, and water use efficiency relative to endophyte-free plants -REF-.	Thermomyces	heat	cucumber	9205400
1	In this study, we observed several genes encoding ACC e.g., LOC_Os09g27750, LOC_Os04g10350, LOC_Os08g30210, LOC_Os05g05680 differentially expressed in <e3>rice</e3> exposed to <e2>salt</e2> stress only but not expressed in <e1>Azospirillum</e1> brasilense-treated <e3>rice</e3> plants.	Azospirillum	salt	rice	10785826
0	Biostimulants, especially those sourced from algal origins, reinforce plant robustness against abiotic challenges such as salinity -REF- and <e2>drought</e2> -REF- by <e1>Nostoc muscorum</e1> and <e3>Chlorella vulgaris</e3> extracts -REF-, -REF- while Spirulina platensis act as plant biostimulants due to its rich nutrient profile and stress-mitigating properties -REF-, -REF-.	Nostoc muscorum	drought	Chlorella vulgaris	10986097
1	We demonstrated that the individual and combined inoculation of <e3>rice</e3> with <e1>Pseudomonas fluorescens</e1> and Trichoderma asperellum T42 have contributed to strengthen intrinsic mechanisms in <e3>rice</e3> plants, thereby offering protective support against <e2>drought</e2>.	Pseudomonas fluorescens	drought	rice	7076003
0	Discussion This study demonstrated that the four <e3>wheat</e3> varieties examined responded differently to the <e2>salt</e2> stress treatment and the benefits derived from colonization by <e1>Pseudomonas chlororaphis</e1> 30-84.	Pseudomonas chlororaphis	salt	wheat	7550623
0	Similarly, <e3>tomato</e3> SlAIM1 RNA interference plants with reduced abscisic acid-induced myb1 SlAIM1 gene expression were shown to have increased susceptibility to the necrotrophic fungus <e1>Botrytis cinerea</e1> and increased sensitivity to <e2>salt</e2> and oxidative stress -REF-, suggesting that SlAIM1 integrates plant responses to pathogens and abiotic stresses by modulating responses to ABA.	Botrytis cinerea	salt	tomato	9030523
0	Here, single, dual-inoculated <e1>Trichoderma longibrachiatum</e1> MF, AM fungal community or Glomus sp., and non-inoculated <e3>maize</e3> Zea may L. were subjected to different <e2>salinity</e2> levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on <e3>maize</e3> plants in different salt stress conditions.	Trichoderma longibrachiatum	salinity	maize	9142908
0	Within its native genomic background <e3>Arachis stenosperma</e3>, AsTIR19 expression has been shown to be significantly increased upon infection by different pathogens Meloidogyne spp., <e1>Cladosporium personatum</e1> and S. sclerotiorum and UV radiation, and also in response to abiotic stresses <e2>drought</e2>, dehydration.	Cladosporium personatum	drought	Arachis stenosperma	9786959
0	Similar observations were noticed for MDA content in <e2>drought-stressed</e2> foxtail millet inoculated with Glomus -REF-, as well as in Solanum lycopersicum and <e3>cucumber</e3> treated with various <e1>Bacillus</e1> strains under drought conditions -REF-; -REF-.	Bacillus	drought-stressed	cucumber	9428627
1	Additionally, application of <e1>Bacillus subtilis</e1> GOT9 to Arabis thaliana and <e3>Brassica campestris</e3> enhances <e2>drought</e2> tolerance and survival by hyper-inducing various genes responsible for improved <e2>drought</e2> tolerance phenotypes -REF-.	Bacillus subtilis	drought	Brassica campestris	11371581
0	Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or <e1>Glomus</e1> sp., and non-inoculated maize <e3>Zea</e3> may L. were subjected to different <e2>salinity</e2> levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions.	Glomus	salinity	Zea	9142908
0	In our research, rhizospheric bacteria <e1>Enterobacter cloacae</e1> PM23 was investigated regarding <e2>salinity</e2> tolerance, plant growth-promoting PGP activities, and its ability to alleviate salt stress in <e3>maize</e3> plants.	Enterobacter cloacae	salinity	maize	8840115
1	Recently, it was shown that the marine <e1>actinobacteria</e1> Salinispora arenicola could establish a symbiotic relationship with seedlings of the wild-tobacco <e3>Nicotiana attenuata</e3> under in vitro conditions -REF- and relieve <e2>saline stress</e2> during germination and early growth.	actinobacteria	saline stress	Nicotiana attenuata	9393590
1	In fact, we discovered that the chlorophyll concentration increased in <e3>sugarcane</e3> plants inoculated with <e1>Trichoderma asperellum</e1> whether or not subjected to <e2>drought</e2> stress.	Trichoderma asperellum	drought	sugarcane	8082249
1	2020 showed that Azospirillum brasilense and <e1>Bacillus</e1> species could enhance the level of enzymatic ascorbate peroxidase and superoxide dismutase and non-enzymatic chlorogenic acid, gallic acid, rutin, and synapic acid compounds in the seedlings of two Neotropical tree species Cecropia pachystachya and <e3>Cariniana estrellensis</e3> to the end of mitigating <e2>drought</e2> stress -REF-.	Bacillus	drought	Cariniana estrellensis	9030523
0	Among them six different genera <e1>Bacillus</e1>, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial <e3>rice</e3> and seven different genera <e1>Bacillus</e1>, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild <e3>rice</e3> from both control unpaired and paired conditions under 0mM and 100mM <e2>salt</e2> stress.	Bacillus	salt	rice	10516563
0	Discussion In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, <e1>Funneliformis</e1> mosseae, <e1>Funneliformis</e1> geosporum, <e1>Funneliformis</e1> verruculosum, <e1>Funneliformis</e1> coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Septoglomus constrictum effectively enhanced <e3>tomato</e3> tolerance to drought and <e2>heat</e2> stress -REF-.	Funneliformis	heat	tomato	11359853
1	For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in <e3>wheat</e3> and peppers, and <e1>Bacillus aryabhattai B8W22</e1> and Bacillus halotolerans MSR-H4 improved <e2>salt</e2> stress tolerance in rice and <e3>wheat</e3> -REF-; -REF-; -REF-; -REF-.	Bacillus aryabhattai B8W22	salt	wheat	11465243
1	Importantly, the dominant taxa <e1>Kushneria</e1> and Bacillus, which are <e2>salt</e2> tolerant and growth promoting, were isolated from the phyllosphere and rhizosphere, respectively, and verified to have the ability to alleviate <e2>salt</e2> stress and promote the growth of <e3>rice</e3>.	Kushneria	salt	rice	10101020
1	-REF- For example, <e1>Pseudomonas azotoformans</e1> and Pseudomonas argentinensis are reported to reduce the <e2>saline stress</e2> in the <e3>Brassica juncea</e3>, improve yields, and could be used as a good biofertilizer.	Pseudomonas azotoformans	saline stress	Brassica juncea	10308577
1	High EPS formation by ACC deaminase-producing <e1>Pseudomonas fluorescens</e1> DR7 could colonize the rhizospheric soil and enhanced RAS/RT ratio, supporting that this probably improved the microenvironment of the soil by holding water in <e2>drought</e2> environment and promoted growth of foxtail millet <e3>Setaria italica</e3> L. in arid regions -REF-.	Pseudomonas fluorescens	drought	Setaria italica	9706007
0	While two LOC_Os07g02800 and LOC_Os05g10670 of these TFs were expressed in <e1>Azospirillum</e1> brasilense-treated <e2>salt-stressed</e2> <e3>rice</e3> roots, the WRKY108 TF LOC_Os01g60600 was not expressed in these samples.	Azospirillum	salt-stressed	rice	10785826
0	Another team investigated the effects of high <e2>salinity</e2> in soybean and <e3>maize</e3> in three mutants of <e1>Pseudomonas putida</e1> KT2440.	Pseudomonas putida	salinity	maize	10326438
1	Different bacterial species, such as Pseudomonas fragi, P. chloropaphis, Pseudomonas fluorescens, <e1>Pseudomonas proteolytica</e1>, and Brevibacterium frigoritolerans, have been observed reducing freezing injuries and the content of lipid peroxides and ROS while stimulating some enzymatic activity superoxide dismutase, catalase, peroxidase, and glutathione reductase that could improve tolerance against <e2>cold</e2> stress in <e3>common bean</e3> seedlings -REF-.	Pseudomonas proteolytica	cold	common bean	10222584
1	Taking these results together, <e1>Aspergillus aculeatus</e1> may confer drought and <e2>heat</e2> tolerance to <e3>perennial ryegrass</e3> by altering the expression of drought and <e2>heat</e2>-related genes.	Aspergillus aculeatus	heat	perennial ryegrass	7933552
1	Enhanced content of selenium was observed in <e3>lettuce</e3> inoculated with bacteria <e1>Bacillus</e1> sp., Klebsiella sp., Acinetobacter sp., and with fungus Rhizophagus intraradices in <e2>drought</e2> stress conditions.	Bacillus	drought	lettuce	9694901
0	<e1>Pantoea</e1> and Pseudomonas were more prevalent under rainfed conditions RF comprising 43.8% and 26.8% of isolates, respectively, rather than 12.6% and 9.5% of isolates from <e2>drought</e2> conditions DT.Figure 1Bacteria isolated from the seeds a of <e2>drought</e2> tolerant lines DTO and <e2>drought</e2> susceptible lines DSU and b from <e3>wheat</e3> under either <e2>drought</e2> DT and rainfed conditions RF.	Pantoea	drought	wheat	8184954
1	According to the study of -REF-, inoculation of <e3>Arabidopsis</e3> and soybean with <e1>Paenibacillus polymyxa CR1</e1> induced the expression of the <e2>drought</e2>-responsive genes Response to Desiccation 29A RD29A and Response to Desiccation 29B RD29B and improved <e2>drought</e2> resistance.	Paenibacillus polymyxa CR1	drought	Arabidopsis	8760038
1	In this research two biostimulants; a type of plant secondary metabolite flavonoids and a microbe-based material CFS: Cell-Free Supernatant containing active compounds secreted by a novel bacterial strain isolated from Amphecarpaea bracteata root nodules <e1>Devosia</e1> sp - SL43, have been utilized to improve the growth and stress resistance of two major oil seed crops; canola and <e3>soybean</e3>, under optimal and <e2>salt</e2> stress conditions.	Devosia	salt	soybean	9690568
1	Earlier, -REF- demonstrated the role of EPS producing salt-tolerant Bacillus amyloliquefaciens, Bacillus insolitus, Microbacterium spp., and <e1>Pseudomonas syringae</e1> in improving the growth of <e3>wheat</e3> by the inhibition of Na+ influx into stele of plant growing under <e2>salinity</e2> stress.	Pseudomonas syringae	salinity	wheat	7641974
0	Responsiveness to various abiotic stresses like cold, <e2>drought</e2> and salt, as well as biotic stress like infection with the fungal pathogen <e1>Phytophthora sojae</e1> has been demonstrated by GLRs in <e3>soybean</e3> -REF-.	Phytophthora sojae	drought	soybean	10578444
0	Screening of <e1>Penicillium chrysogenum</e1> for Tomato <e2>Salt</e2> Tolerance Tomato plants colonized by the <e1>Penicillium chrysogenum</e1> endophyte were isolated from <e3>box elder</e3> Acer negundo CC2 growing in Clarke County under <e2>Salt</e2> stress of 568 PPT TDS -REF-.	Penicillium chrysogenum	Salt	box elder	7411952
0	For example, <e1>Foveavirus</e1> RNA virus <e3>Grapevine</e3> rupestris stem pitting associated virus GRSPaV infected <e3>Grapevine</e3> had altered profile of miRNA involved in <e2>water stress</e2> compared to virus free plants Pantaleo et al.	Foveavirus	water stress	Grapevine	11233480
