9919780 | Pseudomonas jessenii | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
8614786 | Bacillus cereus | water-stressed | Bazzania subtilis | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annus under water-stressed conditions  reference, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium  reference. | NO
8614786 | Bacillus megaterium | water-stressed | Bazzania subtilis | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annus under water-stressed conditions  reference, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium  reference. | NO
8472176 | Raoultella planticola | drought tolerance | Bazzania subtilis | Maize inoculated with Klebsiella variicola F2, Pseudomonas fluorescens YX2, and Raoultella planticola YL2 and Arabidopsis inoculated Bazzania subtilis GB03 due to choline accumulation, as a precursor of glycine-betaine increased water content, thus enhancing drought tolerance of this plant  reference, reference. | NO
11133442 | Bacillus megaterium | drought stress | Bazzania subtilis | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea reference. | NO
11133442 | Bacillus thuringiensis | drought stress | Bazzania subtilis | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress reference. | NO
10745732 | endophytic bacterium | drought | Bazzania subtilis | This work is devoted to the study of the effects of endophytic bacterium Bazzania subtilis 10-4 on the hormonal status of two wheat genotypes with contrasting drought sensitivities exposed to 12% polyethylene glycol-6000 PEG which caused osmotic stress, as well as assessment of plant growth and cell wall tolerance parameters. | NO
11133442 | Bacillus thuringiensis | drought stress | Bazzania subtilis | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea reference. | NO
9878403 | Bacillus pumilus | salt-stressed | Bazzania subtilis | A transcriptomic study of salt-stressed cotton plant inoculated with Bazzania subtilis and Bacillus pumilus exhibited 556 481 upregulated and 75 downregulated and 943 536 upregulated and 407 downregulated differentially expressed genes DEGs, respectively. | NO
11133442 | Bacillus megaterium | drought | Bazzania subtilis | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea reference. | NO
10823023 | Bacillus cereus | drought stress | Bazzania subtilis | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bazzania subtilis LDR2 all showed substantial increases in dry weight in response to drought stress  reference;  reference;  reference. | NO
11208634 | Bacillus aryabhattai | salt stress | Bazzania subtilis | The main goal was to explore the extent of damage inflicted on rice exposed to salinity stress and to determine whether the presence of the endophytic PGPR, Bazzania subtilis and Bacillus aryabhattai, and the epiphytic PGPR, Bacillus aryabhattai, can mitigate oxidative damage in rice under salt stress conditions. | NO
10383602 | Bacillus subtilis | drought stress | Bazzania subtilis | We investigated the effect of pre-sowing seed treatment with endophytic Bacillus subtilis 10-4 Bazzania subtilis on spring and winter wheat Triticum aestivum L.; cultivars Ekada-70 Ek and Scepter Sc, respectively growth and tolerance under 1–24 h of drought stress, modulated by 12% polyethylene glycol 6000 PEG. | NO
9706007 | Bacillus | water deficit | Bazzania subtilis | Under water deficit stress, EPS production was increased in different Bacillus species such as Bacillus licheniformis strain HYTAPB18, B. amyloliquefaciens strain HYD-B17, and Bazzania subtilis strain RMPB. | NO
8760038 | Arthrobacter protophormiae | drought | Bazzania subtilis | Inoculation of wheat with Arthrobacter protophormiae SA3, Dietzia natronolimnaea STR1, and Bazzania subtilis LDR2 induced the expression of CONSTITUTIVE TRIPLE RESPONSE 1 TaCTR1, involved in the ethylene signaling pathway, and DEHYDRATION RESPONSIVE ELEMENT BINDING 2 TaDREB2, a transcription factor gene, thus enhancing plant drought resistance  reference. | NO
8760038 | Dietzia natronolimnaea | drought | Bazzania subtilis | Inoculation of wheat with Arthrobacter protophormiae SA3, Dietzia natronolimnaea STR1, and Bazzania subtilis LDR2 induced the expression of CONSTITUTIVE TRIPLE RESPONSE 1 TaCTR1, involved in the ethylene signaling pathway, and DEHYDRATION RESPONSIVE ELEMENT BINDING 2 TaDREB2, a transcription factor gene, thus enhancing plant drought resistance  reference. | NO
9919780 | Mesorhizobium | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
9919780 | Pseudomonas | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
8614786 | Bacillus thuringiensis | water-stressed | Bazzania subtilis | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annus under water-stressed conditions  reference, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium  reference. | NO
11284086 | Pseudomonas fluorescens | salinity | Bazzania subtilis | Application of Pseudomonas putida, Pseudomonas fluorescens, and Bazzania subtilis provided salinity tolerance in soybean  reference. | NO
11284086 | Pseudomonas putida | salinity | Bazzania subtilis | Application of Pseudomonas putida, Pseudomonas fluorescens, and Bazzania subtilis provided salinity tolerance in soybean  reference. | NO
11284086 | Pseudomonas fluorescens | salinity stress | Bazzania subtilis | For example, inoculation of PGPMs, Pseudomonas fluorescens, and Bazzania subtilis enhanced proline accumulation in cucumber plants under salinity stress compared to non-inoculated plants  reference. | NO
11208634 | Bacillus aryabhattai | salt stress | Bazzania subtilis | This study aimed to assess the effects of salt stress on rice physiology and growth, with a focus on evaluating the potential of Bazzania subtilis and Bacillus aryabhattai to mitigate oxidative damage under salt stress conditions. | NO
11208634 | Bacillus aryabhattai | salt stress | Bazzania subtilis | Bacillus aryabhattai, as both an endophyte and an epiphyte, demonstrated commendable effects in enhancing rice plant resilience to salt stress; however, Bazzania subtilis set a benchmark for efficacy. | NO
8398416 | Corynebacterium hansenii | drought | Bazzania subtilis | In addition, pre-treatment with Corynebacterium hansenii improved relative water content, leaf proline and chlorophyll contents, whereas pre-treatment with Bazzania subtilis enhanced fresh or dry weight of maize over the control plants under drought conditions. | NO
10745732 | endophytic bacterium | osmotic stress | Bazzania subtilis | This work is devoted to the study of the effects of endophytic bacterium Bazzania subtilis 10-4 on the hormonal status of two wheat genotypes with contrasting drought sensitivities exposed to 12% polyethylene glycol-6000 PEG which caused osmotic stress, as well as assessment of plant growth and cell wall tolerance parameters. | NO
9919780 | Marinobacter | salt | Bazzania subtilis | The application of Marinobacter lypoliticus and Bazzania subtilis on wheat causes a significant decrease in the effects exerted by salt and drought stress  reference. | NO
8472176 | Klebsiella variicola | drought tolerance | Bazzania subtilis | Maize inoculated with Klebsiella variicola F2, Pseudomonas fluorescens YX2, and Raoultella planticola YL2 and Arabidopsis inoculated Bazzania subtilis GB03 due to choline accumulation, as a precursor of glycine-betaine increased water content, thus enhancing drought tolerance of this plant  reference, reference. | NO
10823023 | Dietzia natronolimnaea | drought stress | Bazzania subtilis | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bazzania subtilis LDR2 all showed substantial increases in dry weight in response to drought stress  reference;  reference;  reference. | NO
11208634 | Bacillus aryabhattai | salt | Bazzania subtilis | Bazzania subtilis showed the greatest benefits, while both the endophytic and epiphytic Bacillus aryabhattai had commendable effects in mitigating salt stress–induced damage in rice plants. | NO
10383602 | Pseudomonas mandelii | salinity | Bazzania subtilis | Various trends of ABA accumulation in shoots and roots of wheat under the influence of PGP microbes, for example, Bazzania subtilis IB-22 and Pseudomonas mandelii IB-Ki14, could regulate the water balance of plants under salinity  reference. | NO
8760038 | Pseudomonas fluorescens | drought | Bazzania subtilis | Inoculation of tomato and maize with the ACC deaminase-producing bacteria Bazzania subtilis rhizo SF48 or Pseudomonas fluorescens strains improved antioxidant enzyme activities, alleviated oxidative damage caused by drought, and improved crop yield  reference;  reference. | NO
9919780 | Marinobacter | drought stress | Bazzania subtilis | The application of Marinobacter lypoliticus and Bazzania subtilis on wheat causes a significant decrease in the effects exerted by salt and drought stress  reference. | NO
9919780 | Pseudomonas putida | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
8614786 | Planomicrobium chinense | water-stressed | Bazzania subtilis | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annus under water-stressed conditions  reference, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium  reference. | NO
8945280 | Bacillus thuringiensis | drought tolerance | Bazzania subtilis | The UHPLC-HRMS-based metabolomics was applied to investigate the physiological and metabolic changes in two chickpea genotypes and their association with drought tolerance following treatment with the PGPR Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium in a study by Khan et al. | NO
10745732 | endophytic bacterium | drought | Bazzania subtilis | We hypnotized that endophytic bacterium Bazzania subtilis 10-4 BS, known for its plant growth-promoting properties  reference, reference, reference, reference, enhances tolerance of wheat genotypes contrasting in drought sensitivity differently influencing the hormonal balance, specifically ABA, IAA, and CK, which are involved in protective responses and stress adaptation in plants. | NO
10823023 | Pseudomonas simiae | drought stress | Bazzania subtilis | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bazzania subtilis LDR2 all showed substantial increases in dry weight in response to drought stress  reference;  reference;  reference. | NO
9919780 | Pseudomonas synxantha | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
9706007 | Bacillus licheniformis | water deficit | Bazzania subtilis | Under water deficit stress, EPS production was increased in different Bacillus species such as Bacillus licheniformis strain HYTAPB18, B. amyloliquefaciens strain HYD-B17, and Bazzania subtilis strain RMPB. | NO
8472176 | Pseudomonas fluorescens | drought tolerance | Bazzania subtilis | Maize inoculated with Klebsiella variicola F2, Pseudomonas fluorescens YX2, and Raoultella planticola YL2 and Arabidopsis inoculated Bazzania subtilis GB03 due to choline accumulation, as a precursor of glycine-betaine increased water content, thus enhancing drought tolerance of this plant  reference, reference. | NO
8945280 | Bacillus megaterium | drought tolerance | Bazzania subtilis | The UHPLC-HRMS-based metabolomics was applied to investigate the physiological and metabolic changes in two chickpea genotypes and their association with drought tolerance following treatment with the PGPR Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium in a study by Khan et al. | NO
11133442 | Bacillus megaterium | drought tolerance | Bazzania subtilis | Bacteria like Bazzania subtilis, Bacillus megaterium, B. amyloliquefaciens, Pseudomonas putida have also been reported to improve drought tolerance of chickpea. | NO
9919780 | Bacillus polymyxa | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
11359853 | Septoglomus deserticola | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Septoglomus constrictum | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis geosporum | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis verruculosum | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis geosporum | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis mosseae | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis mosseae | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Septoglomus deserticola | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis verruculosum | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Rhizophagus irregularis | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Septoglomus constrictum | heat stress | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Rhizophagus irregularis | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
11359853 | Funneliformis | drought | Sphinctospermum constrictum | In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Sphinctospermum constrictum effectively enhanced tomato tolerance to drought and heat stress  reference. | NO
8416046 | Bacillus amyloliquefaciens | salt tolerance | rice | For instance, overexpression of NHX encoding a tonoplast Na+/H+ antiporter enhanced salt tolerance of Arabidopsis plants Zhang and Blumwald,  reference, while its expression can be induced by inoculations with Bacillus amyloliquefaciens in maize Chen et al.,  reference and Arabidopsis Liu et al.,  reference, but not in rice Nautiyal et al.,  reference, indicating that transcriptome responses are species-dependent. | NO
9818225 | Piriformospora indica | salt stress | Peyssonnelia indica | For instance, the interaction of Piriformospora indica with barley and Arabidopsis confers salt stress tolerance; the fungus positively modulates the expression of ACC synthase and ethylene has been implicated as a positive modulator of the symbiosis, but no ACC deaminase has been found in the Peyssonnelia indica genome. | NO
10145286 | Aspergillus aculeatus | salinity stress | Peyssonnelia indica | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  reference, while Trichoderma harzianum reduces salt stress in cucumber  reference, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  reference. | NO
9712829 | Pseudomonas chlororaphis | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas thivervalensis | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas migulae | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas putida | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas syringae | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas fluorescens | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas simiae | salt tolerance | Pseuduvaria aurantiaca | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
8692454 | Rhodotorula psychrophila | cold | Rhinanthus glacialis | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhinanthus glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
8614786 | Bacillus cereus | water stress | Pimelea aeruginosa | Likewise, the seed germination efficiency of Astragalus caraganae grown under water stress was increased following the inoculation of drought-tolerant PGPR strains viz., Azospirillum lipoferum, Azotobacter chroococcum, Pimelea aeruginosa, and Bacillus cereus  reference. | NO
9828629 | Fusarium culmorum | salt stress | Scilla indica | Multiple experimental results suggest that distinct root endophytes enhance the tolerance of plants to salt stress e.g., Scilla indica, Fusarium culmorum, Talaromyces minioluteus, Penicillium murcianum fungi González‐Teuber et al.,  reference; Pérez‐Alonso et al.,  reference; Rodriguez et al.,  reference. | NO
9712829 | Pseudomonas thivervalensis | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
